file,status,note,producer,creation,moddate,dup_ratio
/Users/kobi/dev/ocr-pdf/PDF/1 Mail - Kobi Shahar (VirtualBox Ltd) - Outlook.pdf,copied_no_ocr,copy,Skia/PDF m141,Thu Oct 23 07:01:13 2025 IDT,Thu Oct 23 07:01:13 2025 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/תלוש שכר יולי 2020 - שחר מורן מרסל conv.pdf,ok_ocr,ocr,iOS Version 18.3.2 (Build 22D82) Quartz PDFContext,Tue Mar 25 12:34:32 2025 IST,Tue Mar 25 12:34:32 2025 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/הודעה מטעם האישה כי היא שילמה את חלקה לאקטואר.pdf,copied_no_ocr,copy,Microsoft: Print To PDF,Thu Apr 27 15:18:16 2023 IDT,Thu Apr 27 15:18:16 2023 IDT,0.008333333333333333
/Users/kobi/dev/ocr-pdf/PDF/אישורי העברת כזפים לאבי בן שבת והחזרים של 700 אלף שח.pdf,error_1,"redo :: --redo-ocr is not currently compatible with --deskew, --clean-final, and --remove-background",Skia/PDF m139,Mon Aug 18 02:23:05 2025 IDT,Mon Aug 18 02:23:05 2025 IDT,0.25
/Users/kobi/dev/ocr-pdf/PDF/שרשור בו רמי מור טוען שחסכונית היא קו הבריאות.pdf,copied_no_ocr,copy,macOS Version 26.0 (Build 25A5316i) Quartz PDFContext,Tue Aug  5 03:59:59 2025 IDT,Tue Aug  5 03:59:59 2025 IDT,0.006944444444444444
/Users/kobi/dev/ocr-pdf/PDF/דוח מסלקה פנסיונית חלק שני - שחר מורן.pdf,ok_ocr,ocr,Adobe Acrobat 11.0.23 Image Conversion Plug-in,Wed Feb  2 10:30:06 2022 IST,Wed Feb  2 10:30:29 2022 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/פרוטוקוך מים 02-11-2021.pdf,error_1,"redo :: --redo-ocr is not currently compatible with --deskew, --clean-final, and --remove-background",Skia/PDF m139,Mon Aug 18 02:10:33 2025 IDT,Mon Aug 18 02:10:33 2025 IDT,0.25
/Users/kobi/dev/ocr-pdf/PDF/‎⁨הודעת מייל מיום 15.10.25⁩.pdf,copied_no_ocr,copy,Microsoft: Print To PDF,Wed Oct 15 11:16:34 2025 IDT,Wed Oct 15 11:16:34 2025 IDT,0.02127659574468085
/Users/kobi/dev/ocr-pdf/PDF/הוצאות מורן לפי חשבון הבנק.pdf,copied_no_ocr,copy,macOS Version 26.0 (Build 25A5327h) Quartz PDFContext,Thu Aug  7 09:16:27 2025 IDT,Thu Aug  7 09:16:27 2025 IDT,0.07300275482093664
/Users/kobi/dev/ocr-pdf/PDF/7fb492_8a13cbba1e144d998bacd958067b7084.pdf,copied_no_ocr,copy,PDFCreator 2.3.0.103,Thu Jan  5 15:53:46 2017 IST,Thu Jan  5 15:53:46 2017 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/31735772-2220101939.pdf,copied_no_ocr,copy,iText® 7.1.15 ©2000-2021 iText Group NV (AGPL-version); modified using iTextSharp 4.1.6 by 1T3XT,Thu Dec 28 15:16:14 2023 IST,Thu Dec 28 15:16:13 2023 IST,0.021739130434782608
/Users/kobi/dev/ocr-pdf/PDF/‎⁨דוח מסלקה פנסיונית חלק שני - שחר מורן⁩ copy 3.pdf,ok_ocr,ocr,Adobe Acrobat 11.0.23 Image Conversion Plug-in,Wed Feb  2 10:30:06 2022 IST,Wed Feb  2 10:30:29 2022 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/דף_1_מתוך_32.pdf,copied_no_ocr,copy,Skia/PDF m131,Sat Aug  2 13:11:18 2025 IDT,Sat Aug  2 13:11:18 2025 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/31735772-1230807763.pdf,copied_no_ocr,copy,iText® 7.1.15 ©2000-2021 iText Group NV (AGPL-version); modified using iTextSharp 4.1.6 by 1T3XT,Thu Dec 28 15:15:20 2023 IST,Thu Dec 28 15:15:19 2023 IST,0.02040816326530612
/Users/kobi/dev/ocr-pdf/PDF/פרוטוקול 19.3.24 והחלטה מיום 20.3.24.pdf,copied_no_ocr,copy,DTCom Form-IT! SDK 2.0,,Thu Mar 21 12:41:58 2024 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/31-10-2022- פרוטוקול אחוזית.pdf,error_1,"redo :: --redo-ocr is not currently compatible with --deskew, --clean-final, and --remove-background",Skia/PDF m139,Mon Aug 18 02:04:34 2025 IDT,Mon Aug 18 02:04:34 2025 IDT,0.25
/Users/kobi/dev/ocr-pdf/PDF/Financial_report_summary_1.pdf,error_1,"redo :: --redo-ocr is not currently compatible with --deskew, --clean-final, and --remove-background",iText® 5.4.5 ©2000-2013 1T3XT BVBA (AGPL-version),Sun Feb 20 12:48:43 2022 IST,Sun Feb 20 12:48:43 2022 IST,0.2916666666666667
/Users/kobi/dev/ocr-pdf/PDF/חשבונית_חשמל_שחר_אוגוסט_2024.pdf,copied_no_ocr,copy,Skia/PDF m86,Sun Sep 22 16:23:55 2024 IDT,Sun Sep 22 16:23:55 2024 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/input-qdf.pdf,copied_no_ocr,copy,macOS גירסה 26.0 ‏(תת-גירסה 25A353)‏ Quartz PDFContext,Thu Sep 11 06:40:12 2025 IDT,Thu Sep 11 06:40:12 2025 IDT,0.015384615384615385
/Users/kobi/dev/ocr-pdf/PDF/סכסוך_על_דירה_משותפת.pdf,copied_no_ocr,copy,Microsoft® Word 2016,Sun Aug 29 08:00:09 2021 IDT,Mon Aug 30 10:33:47 2021 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/ביטול_חיוב_מזונות_הקטין.pdf,copied_no_ocr,copy,Microsoft® Word 2016,Wed Jul 17 09:41:41 2024 IDT,Wed Jul 17 09:41:41 2024 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/2009.09761v3.pdf,copied_no_ocr,copy,pdfTeX-1.40.21,Thu Apr  1 05:54:00 2021 IDT,Thu Apr  1 05:54:00 2021 IDT,0.00510204081632653
/Users/kobi/dev/ocr-pdf/PDF/input-ocr.pdf,copied_no_ocr,copy,pikepdf 9.9.0,Thu Sep 11 06:40:12 2025 IDT,Sun Sep 14 22:52:15 2025 IDT,0.02040816326530612
/Users/kobi/dev/ocr-pdf/PDF/ע161 1.pdf,copied_no_ocr,copy,Microsoft: Print To PDF,Mon Apr 21 12:28:48 2025 IDT,Mon Apr 21 12:28:48 2025 IDT,0.061224489795918366
/Users/kobi/dev/ocr-pdf/PDF/סכסוך_משפחתי_מזונות_רכוש.pdf,copied_no_ocr,copy,Microsoft® Word 2016,Sun Oct 17 09:26:08 2021 IDT,Wed Oct 20 08:18:17 2021 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/דוח_ריכוז_נתונים_פיננסיים_20_07_2024_דוח_פיננסי_ואשראי.pdf,copied_no_ocr,copy,FreeForm System,Sat Jul 20 02:20:37 2024 IDT,Sat Jul 20 02:20:38 2024 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/83de5849-0162-4a29-902b-7ae6ffcf3f94-2f3da8ba7e010000090037f6a1af487d_f_1757558290294.pdf,ok_ocr,ocr,Microsoft: Print To PDF,Wed Feb  2 15:38:17 2022 IST,Wed Feb  2 15:38:17 2022 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/Mail - Kobi Shahar (VirtualBox Ltd) - Outlook.pdf,copied_no_ocr,copy,Skia/PDF m141,Thu Oct 23 06:50:54 2025 IDT,Thu Oct 23 06:50:54 2025 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/timeOS.pdf,copied_no_ocr,copy,iOS Version 18.1 (Build 22B83) Quartz PDFContext,Wed Nov  6 23:01:12 2024 IST,Wed Nov  6 23:01:12 2024 IST,0.0045045045045045045
/Users/kobi/dev/ocr-pdf/PDF/5-2.pdf,error_2,"ocr :: Using sandwich renderer since there is an RTL language
Ghostscript 10.6.x contains JPEG encoding errors that may corrupt images. OCRmyPDF will attempt to mitigate, but this version is strongly not recommended. Please upgrade to a newer version. As of 2025-12, 10.6.0 is the latest version of Ghostscr",,,,0.0
/Users/kobi/dev/ocr-pdf/PDF/1-ocr.pdf,error_2,"ocr :: Using sandwich renderer since there is an RTL language
Ghostscript 10.6.x contains JPEG encoding errors that may corrupt images. OCRmyPDF will attempt to mitigate, but this version is strongly not recommended. Please upgrade to a newer version. As of 2025-12, 10.6.0 is the latest version of Ghostscr",,,,0.0
/Users/kobi/dev/ocr-pdf/PDF/דוח_ריכוז_נתונים_5_שנים-20240720.pdf,error_2,"ocr :: Using sandwich renderer since there is an RTL language
Ghostscript 10.6.x contains JPEG encoding errors that may corrupt images. OCRmyPDF will attempt to mitigate, but this version is strongly not recommended. Please upgrade to a newer version. As of 2025-12, 10.6.0 is the latest version of Ghostscr",,,,0.0
/Users/kobi/dev/ocr-pdf/PDF/10wiley_morpho_DIAapps.pdf,error_2,"ocr :: Using sandwich renderer since there is an RTL language
Ghostscript 10.6.x contains JPEG encoding errors that may corrupt images. OCRmyPDF will attempt to mitigate, but this version is strongly not recommended. Please upgrade to a newer version. As of 2025-12, 10.6.0 is the latest version of Ghostscr",,,,0.0
/Users/kobi/dev/ocr-pdf/PDF/הר הכסף.pdf,ok_ocr,ocr,macOS גירסה 15.5 ‏(תת-גירסה 24F5068b)‏ Quartz PDFContext,Fri May  2 04:14:47 2025 IDT,Fri May  2 04:14:47 2025 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/תלוש שכר יולי 2020 - שחר מורן מרסל conv_copy.pdf,ok_ocr,ocr,iOS Version 18.3.2 (Build 22D82) Quartz PDFContext,Tue Mar 25 12:32:56 2025 IST,Tue Mar 25 12:32:56 2025 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/הר הכסף copy.pdf,ok_ocr,ocr,macOS גירסה 15.5 ‏(תת-גירסה 24F5068b)‏ Quartz PDFContext,Fri May  2 04:14:47 2025 IDT,Fri May  2 04:14:47 2025 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/דוח שומה 2019.pdf,ok_ocr,ocr,Microsoft: Print To PDF,Tue Jan 31 11:53:11 2023 IST,Tue Jan 31 11:53:11 2023 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/בקשה לשינוי מועד דיון.pdf,ok_ocr,ocr,Xerox WorkCentre 5330,Mon Jan 30 15:30:29 2023 IST,Mon Jan 30 15:30:29 2023 IST,0.0
/Users/kobi/dev/ocr-pdf/PDF/הודעה על רשימת עדים והחלטה לתגובה.pdf,ok_ocr,ocr,DTCom Form-IT! SDK 2.0,,Sun May 26 20:08:36 2024 IDT,0.0
/Users/kobi/dev/ocr-pdf/PDF/נספחים חלק שלישי מ-ו עד ז (1).pdf,ok_ocr,ocr,PassportPDF,Sun Feb 14 13:25:46 2021 IST,Sun Feb 14 13:25:46 2021 IST,0.0
